Player,GP,MIN,FG,3FG,FT,OR,TR,AST,TO,STL,BLK,PF,PTS,Rating,Win %,PD,MVP Votes
Krasimir Rusetzki,0.9090909090909091,34.6,7.0,1.8,1.4,1.0,4.1,2.6,1.2,0.5,0.4,2.0,17.4,16.5,0.818,650.0,0
Ximen Lizhou,0.8636363636363636,30.7,6.7,0.4,3.4,1.7,9.4,2.4,0.8,1.0,0.6,2.3,17.1,15.6,0.727,400.0,0
Eric Lincoln,1.0,41.1,7.0,1.4,1.8,0.9,3.0,4.0,1.7,0.9,0.0,0.8,17.1,12.3,0.22699999999999998,-374.0,0
Josh Donovan,1.0,40.1,6.8,0.5,3.0,1.6,6.1,2.5,1.7,0.6,1.0,3.8,17.0,11.3,0.22699999999999998,-374.0,0
Otto Reedy,0.9545454545454546,33.9,6.0,1.6,3.1,0.4,2.2,4.0,0.6,0.6,0.3,2.0,16.6,18.1,0.8640000000000001,460.0,8
Mikey Parent,0.7727272727272727,37.5,6.7,1.6,1.6,1.9,6.2,2.5,1.4,1.3,0.6,2.4,16.6,15.9,0.409,-90.0,0
Fausto Cipolli,0.8636363636363636,33.2,6.3,0.1,3.7,2.6,11.9,0.9,1.9,0.8,1.1,1.2,16.4,18.2,0.455,144.0,0
Artur Taraszka,0.9090909090909091,30.7,6.9,0.4,1.6,2.4,10.4,0.2,1.8,0.3,0.6,1.5,15.8,15.4,0.409,-37.0,0
Drago Padar,1.0,30.7,6.6,0.1,2.3,3.2,9.7,2.1,1.1,0.5,1.0,1.2,15.7,15.9,0.5,297.0,0
Giuliano CupitÃ²,1.0,27.0,6.4,0.1,2.6,1.9,8.1,1.5,1.2,0.7,0.2,1.6,15.5,16.6,0.773,442.0,2
Vinicio Soto,0.9545454545454546,32.1,6.3,0.2,2.3,3.0,12.1,2.3,0.7,0.7,0.6,2.9,15.1,17.6,0.8640000000000001,460.0,103
Bastien Martin,0.7727272727272727,34.6,6.1,0.9,2.1,1.3,4.7,3.1,0.8,0.9,0.8,2.0,15.1,15.6,0.8640000000000001,460.0,0
Naelio Bolton,0.9545454545454546,34.0,5.7,1.2,2.2,0.9,2.5,4.7,1.3,1.0,0.3,1.7,14.9,16.8,0.727,400.0,0
Reed Purdy,0.9545454545454546,37.1,5.6,1.1,2.5,0.8,3.0,5.7,1.5,0.7,0.5,2.1,14.8,18.2,0.727,400.0,4
Angelo Oudin,0.7272727272727273,36.5,5.9,0.2,2.6,1.5,5.6,5.5,1.7,0.9,0.3,1.6,14.8,13.5,0.591,26.0,0
Sherwood Crisp,0.9090909090909091,30.1,6.0,0.2,2.4,3.2,10.7,2.0,1.3,0.4,1.2,2.8,14.5,16.2,0.682,529.0,0
Ander ValdeÃ³n,0.6818181818181818,37.1,5.7,0.6,2.5,0.9,3.5,4.2,1.9,0.8,0.1,3.4,14.5,13.1,0.136,-536.0,0
ElÃ­as Gastia,0.8636363636363636,28.7,5.7,0.5,2.3,0.6,2.7,2.3,1.0,1.2,0.3,1.3,14.2,15.9,0.455,144.0,0
Moses Main,1.0,31.5,5.3,0.3,3.0,3.5,11.5,3.0,1.2,0.5,0.5,2.0,13.8,16.1,0.5,297.0,1
Tosun Ãzpeker,0.9545454545454546,32.3,5.4,1.0,1.7,0.8,4.0,3.1,0.7,1.1,0.3,2.1,13.6,13.9,0.682,249.0,0
Alberto Ipalategui,1.0,33.3,5.3,0.6,2.4,0.6,3.0,4.3,1.4,1.3,0.3,2.5,13.6,13.2,0.5,297.0,0
Pavel Koregin,0.8181818181818182,31.2,6.0,0.1,1.2,3.2,10.5,0.0,1.0,0.1,0.9,2.9,13.3,17.5,0.182,-396.0,0
Moreno Mucci,0.9090909090909091,26.7,5.0,0.8,2.3,0.8,3.2,2.4,1.0,1.0,0.4,1.4,13.2,14.4,0.455,144.0,0
Yehoshua Goel,0.9090909090909091,26.9,5.1,1.0,2.0,0.8,2.8,2.0,1.1,0.8,0.1,2.4,13.2,12.8,0.182,-396.0,0
Mikey Walter,0.9090909090909091,33.5,5.0,0.4,2.6,1.0,3.4,4.1,1.0,1.0,0.2,1.5,13.2,16.2,0.8640000000000001,460.0,0
Colby Sanchez,0.8636363636363636,31.5,5.3,0.8,1.5,1.2,3.5,2.6,0.7,0.9,0.3,0.6,13.0,14.7,0.545,105.0,0
Teo VuÄerakoviÄ,0.7727272727272727,31.7,5.1,0.7,2.1,0.9,2.8,4.2,1.5,0.9,0.2,2.1,12.9,15.2,0.545,105.0,0
Nikola KurÄubiÄ,0.9545454545454546,28.4,5.0,0.4,2.3,1.9,7.3,3.1,0.9,0.7,0.7,2.4,12.8,16.4,0.727,400.0,0
Hossein Aminpour,1.0,27.6,5.2,0.6,1.6,1.0,4.6,1.8,1.0,0.7,0.2,2.4,12.7,15.7,0.727,400.0,0
Andrea Pintore,0.9090909090909091,30.5,4.8,0.6,2.4,1.8,9.9,1.6,1.0,0.4,2.0,3.6,12.6,18.4,0.818,650.0,1
Ted Dobbs,0.8181818181818182,33.4,5.2,0.2,1.9,3.9,11.7,1.4,2.1,0.7,0.7,0.9,12.6,15.5,0.182,-396.0,0
Maurycy ZiÄtal,0.8636363636363636,30.7,4.9,0.2,2.2,2.1,9.2,2.3,1.5,0.3,1.7,3.4,12.3,17,0.818,650.0,0
Heikki Pang,1.0,32.4,5.0,0.4,1.9,0.9,4.1,3.0,1.4,1.1,0.4,1.6,12.2,13.6,0.5,297.0,0
Yann Viale,1.0,32.4,4.9,0.5,1.8,2.1,8.5,2.3,1.6,0.4,0.9,1.2,12.2,15.3,0.5,297.0,0
Jorge Virgil,0.7727272727272727,26.5,4.8,0.9,1.2,1.0,2.5,3.6,0.9,0.9,0.3,1.6,11.8,15.5,0.409,-90.0,0
Chung Hee Jun,0.9545454545454546,36.8,4.3,0.7,2.4,1.2,4.8,3.8,1.0,0.7,0.1,2.6,11.7,14.2,0.773,442.0,0
Diego Fornaro,0.9545454545454546,30.9,4.6,0.5,1.8,1.8,9.0,1.9,1.0,0.7,0.4,2.3,11.5,16,0.682,249.0,0
Giuseppe Mapelli,1.0,26.2,4.8,0.6,1.1,1.5,5.2,2.0,0.7,0.8,0.6,1.5,11.4,15,0.818,650.0,0
Sammie Donnelly,0.9545454545454546,29.0,4.7,0.6,1.4,0.9,2.3,3.6,0.9,0.9,0.3,1.3,11.3,15.8,0.455,144.0,0
Javier ChaperÃ³n,0.9090909090909091,35.8,10.0,1.0,3.3,1.4,5.2,3.8,1.3,1.0,0.2,2.2,24.4,17.3,0.409,-52.0,0
Olov Vingren,0.7272727272727273,34.7,8.8,0.4,3.8,3.4,12.4,2.1,1.4,1.0,0.9,1.4,21.8,18.3,0.682,-35.0,18
Shawn Bowens,0.7272727272727273,38.6,9.5,0.1,1.9,2.8,15.1,4.8,1.2,1.1,1.2,1.8,20.9,19.3,0.727,328.0,160
Fausto Cipolli,0.8636363636363636,35.4,8.5,0.2,2.8,3.2,11.4,1.1,1.9,0.5,0.6,1.8,20.1,17,0.455,-57.0,0
Franck Gillet,1.0,34.4,7.4,1.8,2.5,0.7,3.0,3.9,1.0,0.9,0.1,0.9,19.1,18.3,0.682,522.0,100
Arthur Glass,1.0,33.1,7.4,2.0,2.3,0.7,2.8,3.3,0.9,1.0,0.1,2.0,19.0,17.4,0.682,522.0,32
Blaine Hurtado,0.9545454545454546,38.6,7.3,0.2,2.8,3.0,10.6,3.3,2.0,0.8,0.6,4.0,17.6,14.6,0.364,-186.0,0
ValentÃ­n RepÄÃ­k,1.0,35.4,7.0,0.4,3.0,2.5,12.4,2.4,1.4,0.7,1.0,3.2,17.3,17.5,0.636,472.0,135
Colby Sanchez,0.8181818181818182,37.8,7.1,0.8,2.1,0.9,4.2,2.9,1.2,1.1,0.7,1.0,17.1,14.4,0.409,-17.0,0
Faruk PajiÄ,0.9090909090909091,35.6,6.7,1.2,2.4,0.8,3.1,3.5,1.2,1.4,0.2,2.5,16.9,16.5,0.773,216.0,0
Apok Sultanov,0.8636363636363636,34.1,7.4,0.3,1.6,3.6,12.3,1.6,1.4,0.8,1.2,3.1,16.7,16.2,0.591,272.0,0
Gerhard Echave,0.8636363636363636,32.6,6.5,0.5,2.5,1.6,7.5,3.8,0.9,1.0,0.7,1.6,16.1,15.8,0.773,458.0,2
Elpidio Zorzetto,1.0,39.1,6.0,0.8,3.1,0.8,3.5,5.9,1.3,1.1,0.1,2.0,15.8,17,0.318,-237.0,0
Krasimir Rusetzki,0.9545454545454546,31.0,5.8,1.7,2.4,0.7,3.5,2.8,1.2,1.0,0.7,2.0,15.6,16.2,0.773,458.0,1
Mikey Parent,0.9090909090909091,36.1,6.3,1.3,1.6,1.5,6.5,2.6,1.2,1.2,0.1,2.7,15.6,15.6,0.773,216.0,0
Melvin Britton,0.8636363636363636,38.6,6.0,1.3,2.1,0.9,3.1,5.1,1.2,1.3,0.3,2.7,15.3,17.4,0.591,272.0,0
Jan Kujtkowski,1.0,39.4,6.1,0.3,2.6,3.3,11.2,3.0,1.9,0.8,0.1,1.8,15.2,13.8,0.318,-237.0,0
Fernando GonzÃ¡lez Arguimanes,0.7272727272727273,39.2,6.6,0.5,1.6,1.5,5.0,1.9,1.7,0.6,0.3,2.2,15.2,13.9,0.22699999999999998,-252.0,0
Trond Moberg,0.7272727272727273,39.2,6.4,0.8,1.6,0.8,3.7,4.6,2.1,0.9,0.1,2.1,15.1,15.4,0.364,-186.0,0
